method,sample_index,repeat,latency_ms,returned
d_mmr_1.0_10,57,2,16.648099990561604,5
d_threshold_0.3,7,0,23.477799957618117,5
Hybrid,4,2,31.81319998111576,5
d_dense_control,76,0,18.734500044956803,5
Hybrid,93,1,37.064800038933754,5
d_threshold_0.3,69,1,19.856999977491796,5
d_mmr_1.0_10,24,0,18.528199987486005,5
BM25,90,2,19.127100007608533,5
Hybrid,98,2,32.11040003225207,5
d_threshold_0.3,26,0,18.66649999283254,5
d_dense_control,54,1,20.46959998551756,5
d_dense_control,18,2,22.55310001783073,5
BM25,67,1,15.741099952720106,5
d_dense_control,20,2,17.008300055749714,5
BM25,79,2,17.957800067961216,5
BM25,24,0,15.582800027914345,5
d_threshold_0.3,0,1,20.745099987834692,5
d_threshold_0.3,29,0,18.363300012424588,5
BM25,98,1,16.777099925093353,5
BM25,79,0,14.997399994172156,5
BM25,11,0,16.7850999860093,5
BM25,99,1,18.532500020228326,5
d_dense_control,99,1,21.312400000169873,5
Hybrid,95,0,37.744399975053966,5
d_threshold_0.3,91,0,22.073599975556135,5
BM25,0,2,17.443199991248548,5
Hybrid,91,1,39.30689999833703,5
BM25,25,1,17.540899920277297,5
Hybrid,88,1,36.65030002593994,5
BM25,59,0,15.94650000333786,5
d_threshold_0.3,94,1,17.026000074110925,5
BM25,53,1,18.554700072854757,5
d_threshold_0.3,14,2,22.915499983355403,0
d_mmr_1.0_10,21,2,22.491400013677776,5
d_dense_control,69,0,20.73220000602305,5
d_mmr_1.0_10,68,1,18.69329996407032,5
BM25,33,2,17.426199978217483,5
d_mmr_1.0_10,95,0,21.153499954380095,5
Hybrid,4,0,33.487699925899506,5
Hybrid,46,1,34.52119999565184,5
Hybrid,1,1,36.46840003784746,5
d_threshold_0.3,6,2,18.09670007787645,5
d_dense_control,34,1,16.803099890239537,5
d_dense_control,85,1,17.58350001182407,5
Hybrid,78,1,36.44399996846914,5
BM25,77,0,17.55390001926571,5
Hybrid,42,0,36.42259992193431,5
d_threshold_0.3,54,2,24.253300041891634,5
BM25,40,1,15.919400029815733,5
BM25,84,2,16.198800061829388,5
d_threshold_0.3,29,2,21.36660006362945,5
d_threshold_0.3,38,1,19.648299901746213,5
Hybrid,92,0,44.019300024956465,5
BM25,50,2,16.89610001631081,5
BM25,51,2,17.66250003129244,5
d_mmr_1.0_10,93,0,23.110499954782426,5
Hybrid,96,2,37.82039997167885,5
BM25,25,0,17.05020002555102,5
Hybrid,67,2,36.221399903297424,5
Hybrid,36,2,35.33660003449768,5
BM25,22,0,17.083499929867685,5
d_threshold_0.3,97,0,21.817500004544854,5
Hybrid,63,0,33.6866999277845,5
d_dense_control,66,0,19.179699942469597,5
BM25,17,1,15.854500001296401,5
BM25,62,2,18.376699998043478,5
d_dense_control,29,0,21.667799912393093,5
d_mmr_1.0_10,45,1,19.112400012090802,5
d_mmr_1.0_10,39,0,19.762699957937002,5
Hybrid,60,0,33.99080003146082,5
BM25,97,0,18.532700021751225,5
Hybrid,95,2,36.28650004975498,5
d_dense_control,42,2,20.02120006363839,5
BM25,35,0,16.344300005584955,5
d_threshold_0.3,17,2,19.55259998794645,5
d_dense_control,33,0,16.594900051131845,5
BM25,99,2,16.724599990993738,5
d_dense_control,19,2,24.233600008301437,5
BM25,18,1,16.243799938820302,5
BM25,15,1,16.240300028584898,5
BM25,93,1,16.769699985161424,5
d_mmr_1.0_10,69,1,19.851100048981607,5
d_threshold_0.3,98,0,15.996299916878343,5
d_mmr_1.0_10,26,1,17.41029997356236,5
Hybrid,3,0,43.81679999642074,5
BM25,61,0,21.946399938315153,5
Hybrid,23,0,38.04020001552999,5
BM25,77,1,17.452599946409464,5
d_threshold_0.3,68,2,19.577800063416362,5
d_mmr_1.0_10,18,2,20.547199994325638,5
d_mmr_1.0_10,59,1,19.287100061774254,5
BM25,96,1,17.3571000341326,5
d_mmr_1.0_10,45,0,21.45779994316399,5
Hybrid,79,0,34.92410003673285,5
d_dense_control,1,0,23.924299981445074,5
d_threshold_0.3,0,0,17.895099939778447,5
