method,query_id,repeat,latency_ms
hybrid,98,1,34.503665985539556
bm25,82,1,22.340915980748832
bm25,25,1,12.249917024746537
dense,42,1,13.738749898038805
dense,7,1,14.059875044040382
hybrid,88,1,29.347334057092667
hybrid,50,1,42.99370897933841
hybrid,23,1,39.510375005193055
dense,58,1,14.850415987893939
bm25,93,1,15.402541030198336
bm25,71,1,9.020957979373634
dense,94,1,12.562707997858524
bm25,69,1,8.571458980441093
dense,62,1,12.505791033618152
hybrid,15,1,42.09216602612287
bm25,18,1,10.312790982425213
dense,49,1,14.26533400081098
dense,17,1,11.473500053398311
dense,73,1,12.453875038772821
hybrid,92,1,46.643707901239395
bm25,63,1,8.061249973252416
hybrid,71,1,36.559458007104695
dense,87,1,11.046790983527899
bm25,12,2,3.250874928198755
hybrid,40,2,46.43562494311482
dense,49,2,14.082749956287444
bm25,46,2,12.510417029261589
bm25,66,2,10.675125056877732
bm25,81,2,4.408207954838872
bm25,37,2,18.246041960082948
dense,14,2,11.922457953915
hybrid,31,2,49.46300003211945
dense,75,2,12.97095906920731
hybrid,42,2,51.5841250307858
hybrid,60,2,48.431333038024604
hybrid,32,2,51.04570905677974
dense,7,2,14.082708046771586
hybrid,43,2,46.191500034183264
hybrid,37,2,62.086707912385464
dense,15,2,11.010374990291893
bm25,29,2,8.271249942481518
hybrid,82,2,72.64504092745483
dense,41,2,13.945374987088144
hybrid,44,2,47.98150004353374
hybrid,95,2,43.12233405653387
bm25,72,2,6.727125030010939
bm25,49,2,12.047875090502203
dense,88,2,11.652207933366299
dense,37,2,18.250540946610272
bm25,84,2,19.74400004837662
bm25,11,2,12.978082988411188
hybrid,89,2,20.135292084887624
dense,58,2,14.024916919879615
hybrid,97,2,41.674874955788255
bm25,8,2,13.88616708572954
hybrid,35,2,38.698417018167675
hybrid,66,2,39.92450004443526
dense,57,2,13.164457981474698
dense,32,2,17.61829201132059
hybrid,81,2,25.13608301524073
dense,67,2,10.69258397910744
hybrid,45,2,40.80437496304512
bm25,22,2,11.121542076580226
bm25,100,2,9.097874979488552
dense,31,2,16.879625036381185
bm25,88,2,6.591834011487663
dense,16,2,11.50995900388807
dense,11,2,14.266791986301541
dense,93,2,15.55400004144758
dense,61,2,12.756707961671054
dense,6,2,11.591749964281917
bm25,7,2,16.029957914724946
hybrid,58,2,51.12449999433011
bm25,92,2,12.866875040344894
hybrid,69,2,36.0390410060063
dense,23,2,11.7974589811638
bm25,59,2,10.470584034919739
hybrid,12,2,20.475542056374252
bm25,14,2,9.126459015533328
bm25,89,2,2.839916036464274
hybrid,20,2,51.72233399935067
dense,82,2,23.078290978446603
hybrid,46,2,46.23645904939622
bm25,6,2,7.992791011929512
bm25,65,2,13.553209020756185
hybrid,25,2,59.37254196032882
hybrid,87,2,46.20662494562566
bm25,83,2,17.92687503620982
bm25,98,2,7.582916994579136
bm25,90,2,8.691290975548327
dense,66,2,12.786083039827645
dense,3,2,14.597667031921446
hybrid,54,2,44.18454202823341
bm25,15,2,11.538041988387704
bm25,27,2,10.413124924525619
dense,48,2,14.292915933765471
dense,90,2,14.077375060878694
hybrid,78,2,47.89662500843406
bm25,38,2,8.252290892414749
dense,92,2,14.148167101666331
dense,38,2,12.256875052116811
hybrid,8,2,58.24416596442461
hybrid,11,2,52.7327919844538
dense,60,2,15.271374955773354
hybrid,92,2,49.418792012147605
dense,47,2,16.991666983813047
hybrid,62,2,57.395916897803545
hybrid,79,2,40.85470805875957
bm25,43,2,13.609750079922378
hybrid,7,2,59.42012497689575
dense,5,2,12.228333042003214
bm25,35,2,10.235291090793908
bm25,93,2,15.496833017095923
dense,18,2,14.191000023856759
hybrid,5,2,45.12799996882677
bm25,74,2,10.084250010550022
bm25,5,2,12.274208944290876
bm25,33,2,8.035667007789016
hybrid,74,2,46.840625000186265
dense,29,2,13.7157499557361
bm25,48,2,6.255583022721112
dense,12,2,12.91129202581942
bm25,32,2,12.969957897439599
bm25,70,2,10.028374963440001
bm25,41,2,11.422583949752152
dense,21,2,13.384749996475875
hybrid,26,2,60.610500047914684
hybrid,50,2,42.99191595055163
hybrid,99,2,36.095125018619
hybrid,21,2,32.6414160663262
dense,63,2,12.03404099214822
dense,46,2,14.298374997451901
hybrid,57,2,57.148249936290085
bm25,1,2,10.40770800318569
dense,45,2,12.999249971471727
dense,26,2,16.62204193416983
bm25,21,2,7.155457977205515
bm25,20,2,14.320417074486613
bm25,26,2,16.737625002861023
bm25,45,2,9.472792036831379
hybrid,28,2,48.196832998655736
dense,79,2,14.245667029172182
bm25,16,2,6.146207917481661
bm25,3,2,10.695958975702524
bm25,39,2,14.96450009290129
hybrid,14,2,35.75116605497897
bm25,77,2,9.492208948358893
bm25,97,2,11.027291999198496
hybrid,75,2,30.181624926626682
hybrid,70,2,39.861958008259535
dense,83,2,18.60200008377433
hybrid,49,2,47.20229096710682
bm25,50,2,11.61708403378725
bm25,62,2,10.438333032652736
hybrid,6,2,32.97950001433492
hybrid,1,2,38.50987507030368
bm25,69,2,8.315542014315724
hybrid,94,2,29.737541917711496
dense,35,2,13.428249978460371
bm25,82,2,22.080958005972207
hybrid,88,2,30.53658304270357
hybrid,72,2,28.819374972954392
hybrid,39,2,51.397457951679826
bm25,99,2,8.387333014979959
bm25,58,2,13.748834026046097
dense,54,2,12.75991601869464
bm25,40,2,12.746499967761338
hybrid,48,2,27.24637498613447
bm25,18,2,10.497625102289021
hybrid,47,2,42.90529200807214
dense,20,2,15.48404200002551
dense,71,2,12.890708050690591
bm25,54,2,9.225875022821128
dense,73,2,12.261415948159993
hybrid,16,2,29.309583944268525
bm25,67,2,7.4153749737888575
bm25,78,2,11.819042032584548
dense,27,2,12.3495829757303
hybrid,18,2,37.96149999834597
hybrid,27,2,41.08204192016274
dense,44,2,13.40237504336983
dense,72,2,11.639582924544811
dense,50,2,12.708541005849838
dense,1,2,11.964292032644153
bm25,87,2,7.793958066031337
dense,42,2,12.726666987873614
hybrid,98,2,34.67445797286928
dense,78,2,15.221124980598688
hybrid,63,2,32.94345806352794
hybrid,23,2,40.300041902810335
bm25,95,2,12.26125005632639
hybrid,73,2,35.026540979743004
bm25,75,2,6.6665420308709145
dense,89,2,11.785374954342842
bm25,25,2,12.545083998702466
bm25,68,2,15.651708003133535
dense,19,2,13.880708953365684
bm25,56,2,11.505416012369096
bm25,44,2,12.964166002348065
dense,28,2,13.425291981548071
dense,40,2,13.852874981239438
dense,94,2,12.784999911673367
hybrid,83,2,59.506291057914495
hybrid,65,2,49.08754106145352
bm25,63,2,8.129708003252745
hybrid,59,2,41.320999967865646
hybrid,68,2,52.75987496133894
dense,8,2,14.222291996702552
bm25,31,2,13.101999997161329
dense,97,2,14.425250003114343
bm25,79,2,10.020958026871085
bm25,23,2,10.749583947472274
hybrid,17,2,30.86374991107732
dense,56,2,13.334083021618426
hybrid,3,2,41.07933398336172
dense,33,2,12.76454096660018
dense,100,2,12.008249992504716
dense,59,2,12.246166937984526
hybrid,100,2,38.15320902504027
dense,69,2,12.218208983540535
hybrid,77,2,39.601042051799595
hybrid,93,2,55.52841699682176
bm25,71,2,9.438165929168463
dense,62,2,11.710582999512553
hybrid,67,2,30.379457981325686
dense,84,2,21.036957972683012
hybrid,90,2,35.8717089984566
hybrid,71,2,38.09133404865861
hybrid,22,2,41.53637506533414
bm25,19,2,12.882750015705824
hybrid,61,2,34.93254189379513
bm25,28,2,13.18770891521126
