method_id,query_id,repeat,latency_ms,returned
a_dense_minilm_500_75,65b9bec9,0,15.874832984991372,5
d_mmr_1.0_10,2f855a96,2,12.374916928820312,5
a_dense_minilm_500_75,25a25dbe,4,11.062333011068404,5
hybrid_rrf_75bm25_25dense,4c4b85fd,3,23.91362504567951,5
hybrid_rrf_75bm25_25dense,5afca8e2,2,18.848542007617652,5
b_bm25_tuned,10a0e925,0,12.017375091090798,5
d_threshold_0.3,037b46e9,1,14.156499993987381,5
d_mmr_1.0_10,88041b7f,0,13.150500017218292,5
d_threshold_0.3,4c4b85fd,1,10.994750075042248,5
b_bm25_tuned,7b795372,4,8.369665942154825,5
d_mmr_1.0_10,501e7331,3,13.551375013776124,5
a_dense_minilm_500_75,a9128898,4,15.74195793364197,5
hybrid_rrf_75bm25_25dense,7b795372,4,19.543582922779024,5
d_threshold_0.3,037b46e9,4,15.420250012539327,5
hybrid_rrf_75bm25_25dense,4b2547f5,3,20.530625013634562,5
a_dense_minilm_500_75,166365be,0,22.17945794109255,5
a_dense_minilm_500_75,d414f672,1,11.133791995234787,5
b_bm25_tuned,f58b0476,2,14.390042051672935,5
d_mmr_1.0_10,96373e8a,1,11.438957997597754,5
hybrid_rrf_75bm25_25dense,7b70306c,4,19.782874966040254,5
d_mmr_1.0_10,cf2642de,1,11.97554194368422,5
d_mmr_1.0_10,729e9e22,3,15.636499971151352,5
a_dense_minilm_500_75,8185a29f,2,17.902040970511734,5
d_mmr_1.0_10,6a56ccd8,0,9.49458300601691,5
a_dense_minilm_500_75,7b70306c,3,18.080500070936978,5
d_mmr_1.0_10,41f10609,4,14.267166960053146,5
d_threshold_0.3,41f10609,3,12.279459042474627,5
b_bm25_tuned,39cb0ae3,4,5.37858298048377,5
a_dense_minilm_500_75,b77b94f8,0,12.930582975968719,5
a_dense_minilm_500_75,6a56ccd8,2,12.851541978307068,5
a_dense_minilm_500_75,4b2547f5,1,13.833667035214603,5
hybrid_rrf_75bm25_25dense,0cf13966,4,22.312458022497594,5
a_dense_minilm_500_75,6237ed8d,2,20.649499958381057,5
d_mmr_1.0_10,662d106f,4,13.324000057764351,5
hybrid_rrf_75bm25_25dense,a3f75c4c,4,20.50395798869431,5
d_mmr_1.0_10,6a9fccf8,3,13.187665957957506,5
hybrid_rrf_75bm25_25dense,cf2642de,4,26.566250016912818,5
d_mmr_1.0_10,f5053c04,0,14.700499945320189,5
d_mmr_1.0_10,71f266f1,2,15.497207990847528,5
hybrid_rrf_75bm25_25dense,b77b94f8,1,26.012000045739114,5
b_bm25_tuned,65b9bec9,3,9.079916984774172,5
a_dense_minilm_500_75,ff2cf386,4,17.423750017769635,5
b_bm25_tuned,f9c69b00,2,9.131499915383756,5
d_threshold_0.3,6a9fccf8,0,11.818291968666017,5
a_dense_minilm_500_75,6410ae20,3,14.01058305054903,5
hybrid_rrf_75bm25_25dense,a5dc1f70,1,22.986375028267503,5
b_bm25_tuned,7c3d731b,4,7.779999985359609,5
a_dense_minilm_500_75,2f855a96,3,11.454207939095795,5
a_dense_minilm_500_75,ff2cf386,3,14.819332980550826,5
d_threshold_0.3,5d774c3a,4,13.832708005793393,5
b_bm25_tuned,214c8ab4,3,7.831749971956015,5
d_mmr_1.0_10,4967917b,3,11.553083080798388,5
hybrid_rrf_75bm25_25dense,71f266f1,3,21.318041952326894,5
hybrid_rrf_75bm25_25dense,39cb0ae3,1,26.839707978069782,5
d_threshold_0.3,9b7ebf3e,0,12.663000030443072,5
d_threshold_0.3,aeb7fc83,2,13.884832966141403,5
hybrid_rrf_75bm25_25dense,668b927a,1,22.63008407317102,5
